Index,Date,BTCAED,BTCARS,BTCAUD,BTCBRL,BTCCAD,BTCCHF,BTCCLP,BTCCNY,BTCCOP,BTCCZK,BTCDKK,BTCDOP,BTCEUR,BTCGBP,BTCHKD,BTCHRK,BTCHUF,BTCINR,BTCIDR,BTCIRR,BTCJPY,BTCKES,BTCKZT,BTCMAD,BTCMXN,BTCMYR,BTCNGN,BTCNOK,BTCNZD,BTCPEN,BTCPHP,BTCPKR,BTCPLN,BTCRON,BTCRUB,BTCSAR,BTCSEK,BTCSGD,BTCTHB,BTCTRY,BTCTZS,BTCUAH,BTCUSD,BTCVEF,BTCVND,BTCZAR
23,8/10/2013,422.92,847.85,116.97,238.07,110.41,104.22,,,210465.38,1945.89,582.35,,75.02,66.6,963.46,658.78,26448,6580.51,1349848.75,,11164.52,,,,1428.42,379.86,,642.13,137.63,,4656.49,,363.76,366.67,3526.72,,704.74,145.89,3103.54,,,,108.03,,,1130.6
24,8/17/2013,432.96,934.15,125.67,268.82,117.7,110.5,55194.6,522.13,222963.86,2240.46,631.59,,82.19,72.01,935.97,696.2,27351.3,6533.8,1365486.5,,11714.44,,,,1517.75,376.98,,716.29,145.91,,4000,,355.16,355.4,3881.92,,788.97,165.75,3400.62,,,956,115.14,,,1235.21
25,8/24/2013,443,1032.79,133.49,320.59,123.48,114.2,60464.26,577.86,235462.33,2380.39,680.83,,88.77,79.59,977.03,765.29,28254.6,8655.2,1381124.25,,12264.36,,,,1660.63,412.38,,787.43,162.26,,5231.01,,393.35,437.16,4072.44,,844.17,182.93,3653.87,256,,958.8,126.49,,,1345.21
26,8/31/2013,455,1183.65,141.55,346.74,135.85,129.08,65733.91,633.59,237318.55,2573.08,804.42,,97.85,83.84,1018.09,758.33,28290.92,8658.69,1396762,,12814.29,,,,1713.16,469.32,,878.15,182.42,,5461.83,,421.09,396.4,4262.95,,989.62,217.39,3769.21,271.05,,961.6,134,,,1346.62
27,9/7/2013,467,1078.81,133.55,316.43,134.67,124.52,71003.57,689.33,238973.44,2549.41,754.36,,94.74,80.34,1003.59,800,29116.67,8869.84,1412399.75,,13364.21,,,,1706.02,451.21,21026.32,827.09,172.05,,5614.84,,423.21,382.37,4223.59,,870.93,191.33,3681.76,257.8,,964.4,134.12,,,1201.92
28,9/14/2013,479,1061.72,139.22,322,134.01,125.97,73141.82,745.06,240628.32,2501.7,756.25,,96.17,79.87,1019.34,801.96,29599.22,8235.91,1428037.5,,13914.13,,,,1602.56,433.11,21083.76,819.84,176.05,,5392.34,,416.26,425.09,4184.23,,875.06,165.28,3707.62,250,,967.2,136.58,,,1218.7
29,9/21/2013,504.5,1076.63,135.75,309.82,131.39,125.71,75280.06,800.79,242283.21,2489.58,745.4,,94.19,83.42,939.29,797.37,28918.23,7681.21,1443675.25,,14515.11,,,,1569.68,415,21366.67,823.79,173.11,,5270.31,,406.17,358.32,4136.71,,828.02,167.74,3748.14,254.37,,970,132.91,,,1251.83
30,9/28/2013,530,1134.72,140.63,326.27,129.22,128.08,134410.11,856.52,243938.1,2506.22,722,,94.25,81.42,971.05,815.38,27445.73,8308.17,1459313,,15116.08,,,,1579.13,429.29,21557.02,857.64,170.16,,5387,,419.92,368.04,3895.59,,830.64,164.62,3683.63,258.74,,1334.38,131.94,,,1230.61
31,10/5/2013,722.6,1075.02,142.41,322.35,139.11,124.27,163168.89,881.46,275879.05,2482.04,763.95,,95.01,80.14,1019.81,878.79,28383.53,7381.18,1542936.5,,15717.06,,,,1650.33,448.32,21747.37,856.21,171.59,,5273.39,,363.61,407.7,3922.29,,856.17,161.05,3775.47,268.8,,1698.75,133.49,6133.33,,1272.06
32,10/12/2013,915.2,1304.93,156.31,341.93,146.08,136.05,137553.33,906.4,307820,2796.29,900.39,,104.32,92.23,1249.5,942.19,29298.77,8118.99,1626560,,16318.03,,,,1832.2,480.69,25408.33,941.98,195.47,,6007.57,,492.27,407.72,4564.24,,950.5,184.8,4435.33,276.92,,2063.13,153.1,6500,,1460.06
