Currency,Headline,Link,Date,Index
USD,Apple Reverses Anti-Bitcoin App Policy and Allows Mobile Wallets Back in the App Store,https://www.cryptocoinsnews.com/apple-reverses-anti-bitcoin-app-policy-allows-mobile-wallets-back-apple-store/,6/3/2014,65
USD,"After reaching 51% network power, Bitcoin mining pool says “trust us”",https://arstechnica.com/information-technology/2014/06/after-reaching-51-network-power-bitcoin-mining-pool-says-trust-us/,6/16/2014,66
JPY,Japan will not regulate Bitcoin,https://www.cryptocoinsnews.com/breaking-japan-will-regulate-bitcoin/,6/19/2014,67
USD,"US Marshals: One Auction Bidder Claimed All 30,000 Silk Road Bitcoins",https://www.coindesk.com/us-marshals-one-auction-bidder-claimed-all-30000-silk-road-bitcoins/,6/27/2014,68
PLN,Polish Finance Ministry: Bitcoin Can Be Used as Financial Instrument,https://www.coindesk.com/polish-finance-ministry-says-bitcoin-can-used-financial-instrument/,7/9/2014,69
RON,Bitcoin catches on in tech-savvy Romania,https://www.reuters.com/article/us-romania-bitcoin/bitcoin-catches-on-in-tech-savvy-romania-idUSKBN0FX0VQ20140728,7/28/2014,70
PLN,Polish Finance Ministry: Bitcoin Can Be Used as Financial Instrument,https://www.coindesk.com/polish-finance-ministry-says-bitcoin-can-used-financial-instrument/,7/9/2014,71
RON,Bitcoin catches on in tech-savvy Romania,https://www.reuters.com/article/us-romania-bitcoin/bitcoin-catches-on-in-tech-savvy-romania-idUSKBN0FX0VQ20140728,7/28/2014,72
HUF,"Hungarian PM gives speech claiming ""Democracy has had its Day""",http://www.kormany.hu/en/the-prime-minister/the-prime-minister-s-speeches/prime-minister-viktor-orban-s-speech-at-the-25th-balvanyos-summer-free-university-and-student-camp,7/26/2014,73
JPY,Japan GDP growth collapses amid sales tax shock,http://money.cnn.com/2014/08/12/news/economy/japan-gdp/index.html,8/13/2014,74
IRR,Bitcoin Spikes in Iran as a way to Circumvent Sanctions,http://www.coinfox.info/faq/3141-bitcoin-in-iran,9/23/2015,75
BRL,Brazilian Presidential Candidate Killed - Throws Financial Markets into Disarray,https://www.reuters.com/article/us-brazil-crash/brazil-presidential-candidate-campos-killed-in-plane-crash-idUSKBN0GD1GY20140814,8/13/2014,76
ARS,Avalancha Opens Online Store to Argentina's Bitcoin Shoppers (in a bid to defeat inflation),https://www.coindesk.com/avalancha-online-store-argentina-bitcoin/,8/7/2014,77
IRR,Bitcoin Spikes in Iran as a way to Circumvent Sanctions,http://www.coinfox.info/faq/3141-bitcoin-in-iran,9/23/2015,78
IRR,Bitcoin Spikes in Iran as a way to Circumvent Sanctions,http://www.coinfox.info/faq/3141-bitcoin-in-iran,9/23/2015,79
DKK,Deadly shooting at courthouse in Denmark,http://www.dw.com/en/deadly-shooting-at-courthouse-in-denmark/a-17925595,9/16/2014,80
USD,TeraExchange Receives US Approval to Launch First Bitcoin Derivative,https://www.coindesk.com/teraexchange-bitcoin-derivative-cftc/,9/12/2014,81
INR,India:  RBI Declines to Drop Interest rates from 8% to spur growth,http://www.thehindu.com/business/Economy/rbi-keeps-key-rate-unchanged/article6460630.ece,9/30/2014,82
CHF,Switzerland: Bitcoin Suisse opens online ordering of Bitcoin Certificates,https://www.startupticker.ch/en/news/october-2014/bitcoin-suisse-opens-online-ordering-of-bitcoin-certificates,10/16/2014,83
CLP,Chile in Crisis: South America's Model Nation Grapples With Graft,https://www.foreignaffairs.com/articles/chile/2015-04-12/chile-crisis,4/12/2015,84
HRK,Croatian police arrest Zagreb mayor on corruption charges,https://ca.reuters.com/article/topNews/idCAKCN0I80Q420141019,10/19/2014,85
CZK,Blackmailers Are Threatening the Czech Republic with Ebola for Bitcoin Payment,https://news.vice.com/article/blackmailers-are-threatening-the-czech-republic-with-ebola-for-bitcoin-payment,10/28/2014,86
RON,Over 800 Payment Terminals in Romania Now Sell Bitcoin,https://www.coindesk.com/800-payment-terminals-romania-now-sell-bitcoin/,10/10/2014,87
IDR,Indonesia raises fuel prices by more than 30%,http://www.bbc.com/news/business-30092295,11/18/2014,88
BRL,Petrobras scandal: Brazil's energy giant under pressure,http://www.bbc.com/news/business-30129184,11/21/2014,89
IRR,Iran nuclear talks extended to 2015 after failure at Vienna negotiations,https://www.theguardian.com/world/2014/nov/24/iran-nuclear-talks-likely-extended-vienna,11/24/2014,90
MYR,BitX Opens Feature-Rich Bitcoin Exchange in Malaysia,https://www.coindesk.com/bitx-opens-feature-rich-bitcoin-exchange-malaysia/,11/4/2014,91
INR,India: Bank workers begin strike,http://www.thehindu.com/news/national/karnataka/relay-bank-strike-begins/article6655870.ece,12/3/2014,92
BRL,Brazilian Senate Report: Bitcoin Isn't Ready for Regulation,https://www.coindesk.com/brazilian-senate-report-bitcoin-regulation/,12/19/2014,93
HRK,Croatia presidency vote goes to runoff after tight contest,http://www.bbc.com/news/world-30614291,12/28/2014,94
USD,Charlie Shrem Sentenced: Former Bitcoin Entrepreneur Gets Two Years in Prison,http://insidebitcoins.com/news/charles-shrem-sentenced-former-bitcoin-entrepreneur-gets-two-years-in-prison/27768,12/19/2014,95
USD,Bitstamp Claims $5 Million Lost in Hot Wallet Hack,https://www.coindesk.com/bitstamp-claims-roughly-19000-btc-lost-hot-wallet-hack/,1/5/2015,96
KZT,"Eurasian Economic Union between Russia, Kazahkstan and Belarus comes into force",https://en.wikipedia.org/wiki/Eurasian_Economic_Union,1/1/2015,97
,,,,
,,,,
,,,,
,,,,
,,,,
KZT,"Kazakhstan floats tenge, currency tumbles",https://www.reuters.com/article/us-kazakhstan-tenge/kazakhstan-floats-tenge-currency-tumbles-idUSKCN0QP0PN20150820,8/20/2015,132
,,,,
,,https://techcrunch.com/2016/03/16/why-latin-american-economies-are-turning-to-bitcoin/,,
,,https://news.bitcoin.com/bitcoin-is-a-new-haven-from-hyperinflation-for-rich-latin-americans/,,
,,https://news.bitcoin.com/malaysia-bitcoin-capital-controls/,,
